name,role,image,id,character_name,film_id
james cameron,director,https://resizing.flixster.com/i036xg9oy44ezyy7y9xrqqwo_po=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/263_v9_bb.jpg,982b324a-3cee-4f07-90f2-2e5b38bc4497,,b09e753b-4c2f-4819-bc6b-cf79983a265d
zoe saldana,actor,https://resizing.flixster.com/b76lafvwuzbvo4idxzxr_hgxjmi=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/194024_v9_bb.jpg,20061026-36bd-477e-87a5-2400927c9943,neytiri,b09e753b-4c2f-4819-bc6b-cf79983a265d
sigourney weaver,actor,https://resizing.flixster.com/ao360yszngp0disstv-jm_pef04=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/1898_v9_bc.jpg,65d834df-2052-49ea-9f78-bf90d882d469,grace augustine,b09e753b-4c2f-4819-bc6b-cf79983a265d
sam worthington,actor,https://resizing.flixster.com/h-fzifgg_vemkcvldv-s2cghuju=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/218027_v9_bc.jpg,0415e0b5-c11a-4354-a5c8-b1a4bdbe33cc,jake sully,b09e753b-4c2f-4819-bc6b-cf79983a265d
michelle rodriguez,actor,https://resizing.flixster.com/f5xutpztk1cj5hv2nfxsn2jyeuy=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/219616_v9_ba.jpg,6a080a48-94aa-4363-9ec2-8a0438d398f6,trudy chacone,b09e753b-4c2f-4819-bc6b-cf79983a265d
stephen lang,actor,https://resizing.flixster.com/qlixnkq5ip5gnazn18jqzjb3zvq=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/73978_v9_bc.jpg,f6a235ea-df7a-44ee-8ec1-69b25d1e737c,col. miles quaritch,b09e753b-4c2f-4819-bc6b-cf79983a265d
anthony russo,director,https://resizing.flixster.com/j-qlpe_wylzovkwvaonsrzeuw1w=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/303030_v9_bc.jpg,93b7dd11-8408-4213-b5e6-044e39f0d5dc,,51c85b31-7aac-45a5-9fe9-b0ce6d0a55e8
joe russo,director,https://resizing.flixster.com/rbpt-pqfongjsleaifbnlhpe2mw=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/303029_v9_bb.jpg,e2d599de-3e33-4264-81f0-0c6f2c70831e,,51c85b31-7aac-45a5-9fe9-b0ce6d0a55e8
robert downey jr.,actor,https://resizing.flixster.com/5kz793p_24a7q6zkn4b201l8uzo=/100x120/v2/https://resizing.flixster.com/oopw6fxll1dvzxrle73jckdtzpc=/ems.chjklwvtcy1hc3nldhmvy2vszwjyaxrpzxmvytuxyzhlntctmzg2os00ywjjlwewymetowy1zje0njg2zwvllmpwzw==,4027e786-3f2e-4e9c-9992-b7e2a7f65c7d,tony stark,51c85b31-7aac-45a5-9fe9-b0ce6d0a55e8
chris evans,actor,https://resizing.flixster.com/m1w5hue3oz48uiccprrd9sdp-8e=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/173489_v9_bc.jpg,4986069c-e2f9-466f-b34d-749822e7b075,steve rogers,51c85b31-7aac-45a5-9fe9-b0ce6d0a55e8
mark ruffalo,actor,https://resizing.flixster.com/grma4rdu0rt2-oaba8sx5dvkv50=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/43389_v9_bd.jpg,c1a951b1-caaa-4fbd-b86a-8c39c1f37b62,bruce banner,51c85b31-7aac-45a5-9fe9-b0ce6d0a55e8
chris hemsworth,actor,https://resizing.flixster.com/t1zuvl4ejfrsxczdqxbqo4fpyhy=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/528854_v9_bb.jpg,3ed5e72a-9fae-42a5-b807-368eb5054ca9,thor,51c85b31-7aac-45a5-9fe9-b0ce6d0a55e8
sam worthington,actor,https://resizing.flixster.com/h-fzifgg_vemkcvldv-s2cghuju=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/218027_v9_bc.jpg,4b19a98d-d3de-415d-b011-68ab9eaf2e2a,jake,844034d4-53c3-4c36-9f56-10b5c6a70976
james cameron,director,https://resizing.flixster.com/i036xg9oy44ezyy7y9xrqqwo_po=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/263_v9_bb.jpg,b1e55456-74ca-4fd3-89fe-1a084ec218f4,,844034d4-53c3-4c36-9f56-10b5c6a70976
sigourney weaver,actor,https://resizing.flixster.com/ao360yszngp0disstv-jm_pef04=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/1898_v9_bc.jpg,fb86a44b-605a-458b-ae54-628ccfe6f5f3,kiri,844034d4-53c3-4c36-9f56-10b5c6a70976
stephen lang,actor,https://resizing.flixster.com/qlixnkq5ip5gnazn18jqzjb3zvq=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/73978_v9_bc.jpg,4435ea50-ac3e-4471-a41b-0b7fe7c80aa7,quaritch,844034d4-53c3-4c36-9f56-10b5c6a70976
cliff curtis,actor,https://resizing.flixster.com/h-fadiatim68eyxi27cyf4eo-ts=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/151910_v9_bc.jpg,897bd9af-e6bf-4351-9303-c02c4ca980b6,tonowari,844034d4-53c3-4c36-9f56-10b5c6a70976
zoe saldana,actor,https://resizing.flixster.com/b76lafvwuzbvo4idxzxr_hgxjmi=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/194024_v9_bb.jpg,db7b045b-a4c2-4aeb-8b45-163e6982bb09,neytiri,844034d4-53c3-4c36-9f56-10b5c6a70976
leonardo dicaprio,actor,https://resizing.flixster.com/n2i3akk7l5zxnynmdoqhda6dmlu=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/435_v9_bc.jpg,8ea64eda-2a1a-4a13-b6ee-4897d5d8e96c,jack dawson,f1d890a3-31d9-47ce-97ff-86fbb5e6e6ed
kate winslet,actor,https://resizing.flixster.com/ryeu5a_mcae9fnlslphi7weulxe=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/70811_v9_bb.jpg,f2999662-b12a-47e8-bf72-d2836f57ac8e,rose dewitt bukater,f1d890a3-31d9-47ce-97ff-86fbb5e6e6ed
kathy bates,actor,https://resizing.flixster.com/obqootnqadn__kpsosshsrt50jy=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/106_v9_bb.jpg,3b958c48-5ee4-4369-9c9a-520c3ff53890,the unsinkable molly brown,f1d890a3-31d9-47ce-97ff-86fbb5e6e6ed
frances fisher,actor,https://resizing.flixster.com/iknp1fd2woljna4h59evjuq3yvg=/100x120/v2/https://resizing.flixster.com/-xzafhzm39uwagjifwkae8fs0ak=/v3/t/assets/73302_v9_bc.jpg,7f460945-e2c1-485b-bf08-9340b6cfbebb,ruth dewitt bukater,f1d890a3-31d9-47ce-97ff-86fbb5e6e6ed
